id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
689137,Charming 2br Longfellow Bungalow,469256,Gary,,Hennepin,44.92525,-93.21146,Entire home/apt,98,2,40,2018-04-16,0.52,1,0
690032,The Berg House-Elegant City Living,3524969,Svein,,Ramsey,44.94488,-93.12915,Entire home/apt,250,3,32,2019-02-24,0.44,1,320
697236,Beautiful House rental,3505142,Tang,,Hennepin,44.87676,-93.28388,Private room,40,1,58,2018-11-25,0.75,1,253
728715,S&J#23M~4BR1ba Stadiums Uptown Downtown UofM,1207842,Scott & Jenna,,Hennepin,44.99337,-93.23129,Entire home/apt,219,2,32,2018-10-20,0.41,34,64
736336,mpls house for one time sublet,1242114,Alfred,,Hennepin,44.95123,-93.33942,Entire home/apt,250,1,0,,,1,0
741701,Linden Hills Guest Home,3882563,Julie,,Hennepin,44.92112,-93.32223,Entire home/apt,139,2,53,2019-02-24,0.83,1,76
746358,Beautiful Urban Garden Walkout,3905670,Dennie And Kevin,,Hennepin,44.97165,-93.30695,Entire home/apt,135,2,202,2018-12-09,3.31,1,298
752413,Summer Cabin -- Winter Ski Chalet,3718783,Robin,,Washington,44.89864,-92.78765,Entire home/apt,130,2,54,2018-10-18,0.71,1,203
764514,S&J#29Z-12BR4ba5BuslinesDTownNEUniv,1207842,Scott & Jenna,,Anoka,45.04159,-93.24795,Entire home/apt,706,2,0,,,34,358
767749,Cozy House & Close To Everything,4049559,John,,Ramsey,44.96195,-93.17318,Entire home/apt,98,3,7,2017-07-05,0.10,1,157
770745,Fabulous Victorian with amenities,4065675,Peter,,Hennepin,44.96356,-93.28822,Private room,85,2,41,2018-02-05,0.58,1,60
773189,Close to Lightrail and to Downtown!,4079928,Masha,,Hennepin,44.96114,-93.23632,Entire home/apt,89,3,120,2019-01-03,1.60,1,333
780926,Como Lake B and B: Aerie Suite,4118598,Carla,,Ramsey,44.97622,-93.14188,Private room,155,1,5,2018-10-01,0.07,6,365
783996,Wayzata Lakefront Estate 15mins from downtown MN.,4134260,May And Henry,,Hennepin,44.97588,-93.49115,Entire home/apt,650,3,19,2018-12-20,1.22,1,250
799661,Modern Downtown St. Paul Loft,1172692,Jodi,,Ramsey,44.94999,-93.09821,Entire home/apt,99,80,11,2018-12-21,0.16,1,365
855302,Global Mkt / Urban Cyclists Bedroom,966845,Dan & Debby,,Hennepin,44.95066,-93.25894,Private room,59,2,0,,,2,0
857377,A Lady's Getaway - 2 rooms 2 beds,4484292,Kathy,,Hennepin,45.11502,-93.50578,Private room,55,2,2,2015-07-06,0.03,1,362
862153,Our Studio,4518528,Mary,,Wright,45.29343,-93.75288,Entire home/apt,70,2,70,2018-12-17,2.00,1,285
866762,Minneapolis Modern in Uptown,4554761,David,,Hennepin,44.94507,-93.29251,Entire home/apt,2000,7,19,2015-07-08,0.26,1,0
879773,A Modern Look in a Country Setting!,2640640,Edna & Fleming,,Hennepin,45.01975,-93.35966,Private room,35,1,49,2018-09-14,0.73,3,365
881006,Rest & Play-Whole Bear House,4660799,Jessica,,Anoka,45.19633,-93.38801,Entire home/apt,185,3,9,2017-02-26,0.13,4,266
892733,Momma Bear Room,4660799,Jessica,,Anoka,45.19526,-93.38623,Private room,85,3,9,2017-11-30,0.13,4,264
892771,Papa Bear Room,4660799,Jessica,,Anoka,45.19578,-93.38603,Private room,75,3,16,2018-09-23,0.22,4,290
902593,Architectural Gem near Eat Street!,4823849,Marilyn,,Hennepin,44.95654,-93.28062,Private room,56,2,200,2018-11-28,2.71,2,330
935367,4 bedroom/10 minutes to all the hotspots!,5046509,Dimitri,,Hennepin,44.94701,-93.2649,Entire home/apt,149,1,83,2016-06-20,1.16,1,246
936445,Chalet in the City,966845,Dan & Debby,,Hennepin,45.07559,-93.42167,Entire home/apt,100,365,1,2016-05-08,0.03,2,278
979882,Urban Retreat-Near UofM + Downtown,5363505,Vicki,,Hennepin,44.95479,-93.216,Private room,75,1,87,2019-01-23,1.20,1,317
1004244,Bungalow by the Lakes Fulton,5506919,Jennifer,,Hennepin,44.9114,-93.32154,Entire home/apt,325,2,14,2018-08-19,0.23,1,283
1013151,Private room in Shakopee,5152043,Eric,,Scott,44.78734,-93.53358,Private room,350,1,0,,,1,365
