id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22105240,"The Treat Yo' Self Retreat - ""Best Sleep Ever!!!""",26958698,Benjamin,,Near North/University,39.9815926292056,-83.00918039038969,Entire home/apt,136,1,143,2019-02-04,10.05,26,91
22116412,Columbus private floor,19380517,Kelley,,Near North/University,40.00335985033116,-82.99778729727137,Entire home/apt,56,1,50,2019-02-03,3.57,1,337
22120473,Spacious bedroom monthly booking welcomed,88006238,Bonnie,,Near East,39.97553083788671,-82.9493260041709,Private room,29,1,6,2018-12-01,0.52,4,159
22140048,Private suite in Family home 433 sq ft N. Columbus,69991007,Brue,,Clintonville,40.03820254941717,-83.01825976408836,Entire home/apt,49,1,31,2018-12-30,2.61,1,0
22152555,New Short North area townhome Clean & convenient.,160931077,Joy,,Near North/University,39.99236276367915,-82.99927758721604,Entire home/apt,83,1,54,2019-01-23,4.21,1,174
22191797,Mission Style Old Town East Charmer near downtown!,162147055,Lilly & Kenny,,Near East,39.96210828977764,-82.97676588892543,Entire home/apt,120,1,30,2019-01-02,2.43,1,252
22246111,Linda Habitación hermoso complejo residencial,162554733,Wilmer,,Far West,39.99977260242362,-83.16760587617252,Private room,45,2,0,,,1,180
22264196,"Custom Home Near Short North, OSU & Downtown",10828872,Logan,,Near North/University,39.98658832566006,-83.00000476582738,Entire home/apt,275,2,24,2019-01-27,1.72,1,227
22278992,Wonder Bread Loft Short North with Parking,47052293,Annette,,Near North/University,39.976946117816674,-82.9973613255002,Entire home/apt,100,1,73,2019-02-03,5.23,3,111
22290424,Cozy room in our central Olde Town East home!,34040116,Erika & Chris,,Near East,39.9639030327654,-82.96337920766672,Private room,40,1,91,2019-01-25,7.65,1,35
22308103,Sunbury home,62853442,Thierry,,Northeast,40.015818957010815,-82.93527291065925,Private room,45,1,9,2018-08-10,0.68,1,84
22398513,"Downtown Columbus, 1 bedroom",163481444,Danielle,,Downtown,39.96333418632177,-82.98640552911326,Private room,35,2,14,2019-01-13,1.11,1,5
22421892,Lux Penthouse w/Garage—Arena District/Short North,116400313,Nate,,Downtown,39.96776834115759,-83.00396605557897,Entire home/apt,150,29,24,2018-10-21,2.10,15,0
22448505,Renovated Church in the Short North,79868529,Tim,,Near North/University,39.9843372439313,-83.01429941398102,Private room,50,1,91,2019-01-19,7.36,1,110
22460901,Victorian Village Apartment on Neil Ave!,97538083,Mikey,,Near North/University,39.9871571048973,-83.01210939592954,Entire home/apt,100,1,7,2018-04-22,0.65,1,0
22481727,The Legacy House - Your Home Away From Home,101833432,James,,South Linden,39.98040061887937,-82.99291900271908,Entire home/apt,119,2,44,2018-11-25,3.85,1,296
22482487,The Franklinton Inn,26958698,Benjamin,,Franklinton,39.9577064585669,-83.02693089486475,Entire home/apt,109,1,60,2019-01-29,4.50,26,73
22507363,Guest Room #1 at Willis Park,87842332,Christopher,,Eastmoor/Walnut Ridge,39.944467403883294,-82.8648035192607,Private room,39,1,32,2019-01-11,2.64,2,79
22516823,Modern 1 BR Apartment,31862035,Alex,,Rocky Fork-Blacklick,40.05883088778035,-82.87039291384558,Entire home/apt,52,2,10,2019-01-27,0.79,1,0
22545321,Downtown studio with a view,1343464,Dan,,Downtown,39.96022440430216,-82.98640483664275,Entire home/apt,150,2,48,2019-02-03,4.30,1,52
22579962,Awesome bedroom with X-Lg ensuite next to downtown,165993862,Jim & Regan,,Near South,39.94480960934948,-82.97641446647943,Private room,45,1,71,2019-01-20,5.77,1,159
22598538,2063 N. 4th R - 2313 · Stylish Retreat w/ Room For All+Amazing Fireplace,55707307,Rob,,Near North/University,40.00647079010659,-82.9981514696627,Entire home/apt,117,1,34,2019-01-27,2.97,7,150
22615569,Charming Clintonville Cottage,17639670,Elisabeth,,Clintonville,40.02726925090206,-83.01845518966394,Private room,75,1,21,2019-01-20,1.67,1,84
22646137,Beautiful renovated ranch in quiet neighborhood.,33532441,Alex,,Eastmoor/Walnut Ridge,39.93918725893078,-82.9121059756689,Entire home/apt,139,2,36,2019-01-30,2.78,2,336
22655120,"✦ Comfy & Gated 1-bed, 1-bath: Pool, Gym & Trails!",166861677,Theo,,Eastland/Brice,39.92631182153617,-82.93052891186808,Entire home/apt,80,2,36,2018-12-16,2.89,1,40
22701184,Blue Beechwald Bungalow! Clintonville/Worthington.,26958698,Benjamin,,Clintonville,40.07387100687599,-83.00860598828339,Entire home/apt,165,1,68,2019-02-03,5.24,26,75
22703654,Gorgeous Executive Home,72582807,Ben,,Far North,40.12123536015746,-82.97887883892463,Entire home/apt,178,1,29,2019-01-27,2.44,1,330
22731351,New Home - New Adventure,47700770,Jenna,,Westland,39.900498468526195,-83.11772127247029,Entire home/apt,65,1,41,2018-11-18,3.59,1,144
22734451,Hideaway at 1007,134168758,Lainie,,Near South,39.9408032856744,-82.99760326486378,Entire home/apt,135,2,18,2019-01-05,1.42,2,331
22745867,Luxury Goodale Park Condo - Short North.,30341540,Josiah,,Near North/University,39.976425943979734,-83.00490932523407,Entire home/apt,125,2,13,2019-02-07,4.53,1,22
22767027,Charming Hideout | Close to Everything,57652812,Jana,,Northwest,40.0573808844307,-83.0682021282088,Private room,30,1,49,2018-09-19,3.86,1,51
22787717,The Modern NYC-Style Flat | Near Convention Center,10620281,Robert,,Downtown,39.964472729513446,-82.99373921346626,Entire home/apt,119,2,18,2019-01-16,1.54,3,261
22829374,"☀️COMFY BED☀️Walkable, Thoughtful Touches!",8963103,Sarah And Nick,,West Olentangy,39.98744285853669,-83.03615766493519,Entire home/apt,85,1,101,2019-02-02,8.10,2,110
